"Gene_Symbol","log2FC","P_Value","Adjusted_P_Value","Regulation"
"PDZK1IP1",1.20445833333333,0.000567396060000265,0.0242546725329369,"Upregulated"
"AG_3984",1.196234375,0.000609623652624785,0.0253190722703828,"Upregulated"
"STMND1",-1.06089930555556,0.000704680943390683,0.027585157886029,"Downregulated"
"FDCSP",2.31691319444444,0.000720433109366056,0.0278353879010592,"Upregulated"
"CHI3L1",1.06790451388889,0.000759902197707858,0.0285472852563183,"Upregulated"
"ELOVL2",-1.07152430555555,0.000772386855225615,0.0287374396389845,"Downregulated"
"FAM150B",1.07218055555556,0.0007966653497391,0.0291018231053558,"Upregulated"
"AG_0861",-1.16063888888889,0.000811818591262335,0.0293881986877466,"Downregulated"
"AG_2917",-1.04079340277778,0.000852411346882896,0.0299798852920105,"Downregulated"
"SERPINA5",-1.34372916666667,0.000942617848878013,0.0311252203321946,"Downregulated"
"CXCR2P1",1.01948611111111,0.00100902894574868,0.0323392268096083,"Upregulated"
"PROM1",1.64274131944445,0.00101671642263209,0.0324239743273127,"Upregulated"
"AG_1915",-1.13922048611112,0.00103842956620592,0.0328556661764327,"Downregulated"
"NKAIN1",-1.28563715277778,0.00111895035020927,0.0341918041424213,"Downregulated"
"KRT17",1.121109375,0.00118493050576578,0.0352508622610663,"Upregulated"
"SYNM",1.137984375,0.0012121679104659,0.0356970142357677,"Upregulated"
"POTEG",-1.10188888888889,0.00124122271841601,0.0361416173063414,"Downregulated"
"GABRP",1.37191666666667,0.00125276238337753,0.0362619290998847,"Upregulated"
"CPB1",-1.73241319444445,0.00144933621819212,0.0393874247362307,"Downregulated"
"ABCA12",-1.14165798611111,0.00145162667304921,0.0393874247362307,"Downregulated"
"AG_0739",1.03791319444444,0.00144542606671466,0.0393874247362307,"Upregulated"
"AG_3215",-1.02788888888889,0.00144479671344633,0.0393874247362307,"Downregulated"
"COL22A1",1.12790798611111,0.0016048701667914,0.0416721780142781,"Upregulated"
"POTEI",-1.44919097222223,0.00165890520470616,0.0424359320696773,"Downregulated"
"GRPR",-1.27896527777778,0.00173249034126744,0.0435265760541685,"Downregulated"
"BMP7",1.26598958333333,0.00180704954968224,0.0447297138353716,"Upregulated"
"MMP7",1.47398958333333,0.00188025643883959,0.0456861099644275,"Upregulated"
"SPIB",1.203828125,0.00199693124118795,0.0472642585177425,"Upregulated"
"LY6K",1.23300868055555,0.00206365652864727,0.0480364248876866,"Upregulated"
"S100A8",1.49228993055556,0.00211139979552709,0.0488500901163668,"Upregulated"
"AG_2574",1.44278472222222,0.00216354829764963,0.0493608400115294,"Upregulated"
"CRYAB",1.01740451388888,0.00220793686085849,0.0499130367996886,"Upregulated"
