"gene","log2FoldChange","pvalue","padj"
"LRP1-AS",2.24738780386868,0.00768447071293051,0.999531826066693
"LYRM4-AS1",-0.774400647027378,0.0335272607471759,0.999531826066693
"LYSMD2",-2.97863866548179,0.0336729833224478,0.999531826066693
"MAEA",2.11526321561733,0.0404922967078313,0.999531826066693
"MAGED2",2.79222994144129,0.0498257468273791,0.999531826066693
"MALAT1",1.31668237094212,0.00562407915387184,0.999531826066693
"METTL1",-2.98659918003747,0.015634023194664,0.999531826066693
"METTL9",1.62746574964066,0.00573922315861068,0.999531826066693
"MGAT3",1.23468789638012,0.0109760168038679,0.999531826066693
"MGAT5B",3.07703337889866,0.0155739268965714,0.999531826066693
"MIR635",1.78741206605045,0.0430619769692884,0.999531826066693
"MRTFB",3.13425334988165,0.0107804589264916,0.999531826066693
"MTRR",-0.659795374479208,0.0102688607797925,0.999531826066693
"NCOA2",2.09538491503817,0.011645123324643,0.999531826066693
"ND1",-0.645991041482338,0.0284886567778452,0.999531826066693
"NDUFA12",1.52940868569411,0.0343151797023377,0.999531826066693
"NDUFB9",1.40331894119946,0.0338063210510458,0.999531826066693
"NDUFV1",1.51666596555922,0.0330132401174311,0.999531826066693
"NEAT1",-2.82099257128129,0.0329223818761452,0.999531826066693
"NONOP2",-1.07396866962309,0.048673354464628,0.999531826066693
"NUBP1",1.61863234670671,0.0456546378905985,0.999531826066693
"NUDT22",1.13848748234374,0.0246974716668026,0.999531826066693
"OR13E1P",2.07722098347713,0.0109439682727575,0.999531826066693
"OSBPL5",-2.87688385333132,0.0360336755036013,0.999531826066693
"PARG",-2.75002581198033,0.0239970613320599,0.999531826066693
"PCBP2",0.573959746167707,0.0394622335529021,0.999531826066693
"PCSK7",0.636902878984239,0.0405630363757083,0.999531826066693
"PDZD11",2.72021208009938,0.021655132765386,0.999531826066693
"PHLDB1",3.2286411141217,0.0345421457775478,0.999531826066693
"PIGH",0.923494139715865,0.0137503539648281,0.999531826066693
"PIP4K2C",2.97819584644494,0.0411349537729262,0.999531826066693
"PLEKHF2",-3.07068038426332,0.0447330064242102,0.999531826066693
"PLEKHG4",-0.987679357197673,0.012989568253098,0.999531826066693
"PNPLA6",1.24449026904737,0.0148744470827111,0.999531826066693
"PPP1R16A",0.628221933013574,0.00410291740254477,0.999531826066693
"PPP1R3E",1.17553432382991,0.0261730002657637,0.999531826066693
"PTGDR2",-0.810975398587385,0.00355305670826007,0.999531826066693
"PWP1",-1.21496237382915,0.013370052340651,0.999531826066693
"PYM1",1.01212275912404,0.0475431738210441,0.999531826066693
"RNF213-AS1",0.562269629491948,0.0381795498556584,0.999531826066693
"RPS10P17",-2.14347884264393,0.0364588639737168,0.999531826066693
"RPS18P5",-0.807941527474051,0.0423464706368108,0.999531826066693
"RUBCN",1.90798301179301,0.011787495060547,0.999531826066693
"SAP30-DT",-2.37710879249296,0.0479550063471359,0.999531826066693
"SCAT2",-0.665683921615083,0.0486621966827362,0.999531826066693
"SCN3A",2.13801177550409,0.00461293188127454,0.999531826066693
"SCPEP1",1.99789298123599,0.0486897964899666,0.999531826066693
"SEPTIN8",0.961606836881265,0.0353693816605204,0.999531826066693
"SERHL2",-0.505105892232186,0.00994900343325034,0.999531826066693
"SLC27A5",0.951485924736558,0.0188242933556556,0.999531826066693
"SLC39A4",0.874415826680326,0.0220132412967117,0.999531826066693
"SMARCA1",1.75584047314908,0.00356064603258092,0.999531826066693
"SMIM14",2.65977671228247,0.0136379135338676,0.999531826066693
"SMIM27",-0.725975633490912,0.0253769603158199,0.999531826066693
"SRMS",2.05507778237889,0.0129783004095036,0.999531826066693
"SYTL4",3.42829749175613,0.0202490879161521,0.999531826066693
"TAC4",1.8048207934851,0.0056686484484195,0.999531826066693
"TBC1D4",-3.04245584259263,0.0454784371178139,0.999531826066693
"TCHP",-1.64071219713197,0.0427219913047817,0.999531826066693
"TENM4",2.60089309166605,0.0185666983958068,0.999531826066693
"TJP1P1",-1.03461631023967,0.0461131248654589,0.999531826066693
"TMC6",0.860320096837124,0.0308534572793516,0.999531826066693
"TMEM86A",-0.990440590846937,0.00703319033745359,0.999531826066693
"TMX4",1.32706194696522,0.0441844030291506,0.999531826066693
"TRIQK",2.0266365246397,0.0438211635906303,0.999531826066693
"TROAP-AS1",1.53228768035782,0.0081534714630901,0.999531826066693
"TSACC",-0.74180124024018,0.0135223155694283,0.999531826066693
"TSPAN15",2.09980522129861,0.0450204378633977,0.999531826066693
"TSPAN33",3.0486311100965,0.0137765132662562,0.999531826066693
"TUBA1A",1.51897791739106,0.00663100047011088,0.999531826066693
"TUBE1",-3.69106959696187,0.0147845840110107,0.999531826066693
"TXNDC5",-1.77740923669497,0.0172568341618661,0.999531826066693
"TXNIP",2.7107967375256,0.0278549010610432,0.999531826066693
"UNC45A",0.937744638407557,0.0492955388920835,0.999531826066693
"URGCP",-1.39826759155695,0.041578294772946,0.999531826066693
"USP30",-1.14603288489257,0.0422539902169577,0.999531826066693
"WASF2",2.10673967546885,0.0309537862847523,0.999531826066693
"WDR74",1.68056984492766,0.0211321329067909,0.999531826066693
"WIPI1",0.753602516283423,0.0324624551842305,0.999531826066693
"YPEL3-DT",1.35602907415141,0.0271866653392896,0.999531826066693
"ZNF133-AS1",2.65819436424758,0.0366430566153956,0.999531826066693
"ZNF248",3.01848476316011,0.0259983659534229,0.999531826066693
"ZNF34",2.52880961005798,0.0339568863012778,0.999531826066693
"ZNF557",1.30739194208641,0.0308024552957381,0.999531826066693
"ZNF57",-0.666780447032822,0.0404415702170869,0.999531826066693
"ZNF793-AS1",-2.5185047927077,0.0388066961534398,0.999531826066693
"ZP3",1.56150384077409,0.0289790415389214,0.999531826066693
