Gene_Symbol,log2FC,P_Value,Adjusted_P_Value,Regulation
KLHDC7B,-1.80165123508085,0.013651472759864,0.0416907791727712,Downregulated
LOC124903128,-3.07166817568596,0.0137808861409574,0.0420100437947158,Downregulated
LINC00421,-3.01706855203071,0.0138057003466137,0.0420656493971995,Downregulated
LOC124900289,-1.28440485076274,0.0138222551520848,0.0421031630971312,Downregulated
PRICKLE2-AS3,1.62109022790616,0.0138284153638167,0.0421105996107574,Upregulated
LOC105369896,-1.56465739992125,0.0138430232844233,0.0421424209900835,Downregulated
CACNA2D3,-2.08209943894581,0.0139524711299068,0.0424246380636185,Downregulated
RNF228,-3.02039315523445,0.0140148047507127,0.0425694706267339,Downregulated
LINC02447,1.60535524028732,0.0141471565891432,0.0429264546265485,Upregulated
PRSS50,1.41734204780268,0.0142356100669965,0.0431560844223679,Upregulated
LOC124903247,1.36366993846528,0.0142978388849357,0.0433212917556856,Upregulated
LINC02041_1,-1.06007212862423,0.0143457773397876,0.0434380879743286,Downregulated
STAC3,-1.08266801526358,0.0145235732298645,0.0438193369747133,Downregulated
LOC105371648,-2.653271779224,0.0145428248917475,0.0438645620734648,Downregulated
COL13A1,1.35660133332525,0.014542890973096,0.0438645620734648,Upregulated
LOC105377380,-3.3917539408912,0.0145772280148479,0.0439615882506996,Downregulated
LOC107986982,-1.69613623236713,0.0146462693135272,0.0441425829232634,Downregulated
LINC01992,2.200850637474,0.0146524889194196,0.0441425829232634,Upregulated
SSU72L6,-2.05936825022172,0.0147619444511833,0.0444459079145922,Downregulated
LOC105377399,-1.42927760206891,0.0149938970556501,0.0450238962105143,Downregulated
LOC124900664,3.0653551344317,0.0150352668137564,0.0451347486741748,Upregulated
H2BC6-AS1,-1.03840270922853,0.0152744245797693,0.0457105140716586,Downregulated
LOC101929534,-2.89471145507798,0.0153484883459748,0.0458847360301714,Downregulated
FKBP1C,1.26880805612924,0.0153736586465675,0.0459464298300319,Upregulated
LOC124901022,1.12378668904396,0.0155086075791553,0.0462610694660631,Upregulated
LOC124902726,2.93426454404709,0.015525379643241,0.0463042848718145,Upregulated
NLRP6,-1.06337647530453,0.0155531851110803,0.046380389733189,Downregulated
OR9A4,-2.60686272902219,0.0156499848146233,0.0466416030300836,Downregulated
TMEM132B,-2.70327312916261,0.0156999391409852,0.0467698510359538,Downregulated
VSIR,-2.9233990309775,0.0157262123779129,0.0468274715275329,Downregulated
LOC124901676,-3.17097031185058,0.0157852014871138,0.0469815155974841,Downregulated
LINC01864,-3.21448359996127,0.0158565987752181,0.0471591797375523,Downregulated
TMEM92,1.97659531004154,0.0158914670416732,0.047236272982501,Upregulated
PLD5,-1.5721420015977,0.0159620904612542,0.0474183807063112,Downregulated
LOC105371711,-2.92259529917471,0.0161089457218874,0.0477812848361012,Downregulated
A4GALT,1.27919478579778,0.0161101830662547,0.0477812848361012,Upregulated
HDHD5-AS1,-1.43725068112964,0.0161267170186708,0.0478145651685732,Downregulated
COL8A2,1.53923790846306,0.0161986719180147,0.047959521049699,Upregulated
ERC2,-1.53385276839843,0.0163662270219201,0.0483778701337755,Downregulated
LOC105375435,-1.16980003079961,0.0163778505410799,0.0484048004264046,Downregulated
PAH,-2.70037541773659,0.0165510462191114,0.0488422344202409,Downregulated
LOC124901674,-1.88831531176992,0.016562340505536,0.0488571344703712,Downregulated
RFPL1,-1.28719365266078,0.0167382908930414,0.049270935699878,Downregulated
