Gene_Symbol,log2FC,P_Value,Adjusted_P_Value,Regulation
NPIPB4,-2.95181801889933,2.7269237249644898e-12,4.05564532629308e-10,Downregulated
LOC124900699,-3.31739394505736,2.9547110630075996e-12,4.3645303416426603e-10,Downregulated
LOC105374069,-2.93700826902669,3.2154524621204e-12,4.71759018665421e-10,Downregulated
LOC728506,-2.19328690276469,3.2454676343062397e-12,4.729670081297031e-10,Downregulated
EIF3EP3,-2.55221840206128,3.2837469249340197e-12,4.75355204853449e-10,Downregulated
AKR1E2,-3.17412183233035,3.46921059637138e-12,4.98877078739126e-10,Downregulated
LOC124900479,-1.28450071186534,4.8420502468643195e-12,6.917123622395521e-10,Downregulated
CDC25C,1.19602920869355,5.88959410191224e-12,8.35860433522369e-10,Upregulated
LOC105369506,2.75384404438793,8.27442082578233e-12,1.16669333643531e-09,Upregulated
SULT1B1,-3.73300898363994,8.35831246852797e-12,1.1709186899459101e-09,Downregulated
LOC107987221,-3.0337046914144,1.0772385658859899e-11,1.49943321920823e-09,Downregulated
LOC124906254,-2.10432168141367,1.54880111679938e-11,2.14208072931094e-09,Downregulated
LOC107986338,-2.97035456816373,1.68511127691477e-11,2.3158548270207103e-09,Downregulated
LOC124902738,-2.81474057236374,1.93570785131888e-11,2.6435195146879304e-09,Downregulated
RPL6,-2.82744315171566,2.4124027723411097e-11,3.2739321124134303e-09,Downregulated
LOC124900586,-1.93334913262815,2.8094313228542896e-11,3.78906781021478e-09,Downregulated
LOC124904287,-3.5724439387359,3.68046669187718e-11,4.933188502927231e-09,Downregulated
LOC124904410,-2.02915941206654,4.8625160986681593e-11,6.47758739671659e-09,Downregulated
LOC124904309,-2.54226761471917,4.987922680214719e-11,6.60413128525503e-09,Downregulated
UBE2Q2P8,-3.18155956504232,5.53212014688782e-11,7.28027011330437e-09,Downregulated
RAB4A-AS1,1.85453653044815,6.661398399228529e-11,8.713590653063151e-09,Upregulated
LOC105374841,1.58099912370504,7.993630187374889e-11,1.03936338855484e-08,Upregulated
ZNF875,-2.96328633782734,9.09309379546303e-11,1.1752823730636e-08,Downregulated
NBPF10,-3.1021779770583,1.07893728346939e-10,1.38627480315114e-08,Downregulated
FAM118B,1.10053797133617,1.12463368190146e-10,1.43648798640049e-08,Upregulated
LOC124902878,-3.08379776438356,1.22712554790802e-10,1.55823416065935e-08,Downregulated
HSFY4P,-2.46113747218896,1.23683986681348e-10,1.56143842255743e-08,Downregulated
LOC101927372,-2.1955206991669,1.36821593017293e-10,1.71730871143208e-08,Downregulated
LOC100505915,-1.36005593170959,1.67415027270563e-10,2.08922408169713e-08,Downregulated
GAS5-AS1,1.56574758657545,1.912067770293e-10,2.37249368937955e-08,Upregulated
PSPC1P1,-2.66578825563209,1.93885215465484e-10,2.39205884580541e-08,Downregulated
METTL7AP1,2.06580283938392,2.0131542502725301e-10,2.46969668872417e-08,Upregulated
MTCO2P12,2.94367253032416,2.07343584445659e-10,2.52935875991743e-08,Upregulated
FDPSP2,-1.76462831171951,2.09063942310599e-10,2.53609745437561e-08,Downregulated
CRYZP1,2.84948433648321,2.23499161878311e-10,2.6961448894587e-08,Upregulated
LOC100190986,-3.19821328381446,2.43033720793961e-10,2.91559901288402e-08,Downregulated
LOC101927615,-3.14807753277099,2.49831886870266e-10,2.98068658873679e-08,Downregulated
LOC105375631,-2.48935264368998,2.67277397066363e-10,3.17139967207596e-08,Downregulated
PCP2,1.90503512120649,2.97120167885546e-10,3.50634093775367e-08,Upregulated
SPDYE2B,-1.98312934719832,3.11148010279142e-10,3.63240209419424e-08,Downregulated
LOC105369250,-3.20905165917877,3.35035458028463e-10,3.88062492694709e-08,Downregulated
SPPL3,-3.36492501812596,3.35984842159921e-10,3.88062492694709e-08,Downregulated
LOC124901923,-2.91316473006383,3.69287660328148e-10,4.24270489754784e-08,Downregulated
TMEM120A,1.66767083851511,3.76796270359701e-10,4.30618642873187e-08,Upregulated
DFFA,-2.89024997033243,6.48272270676963e-10,7.36993931176941e-08,Downregulated
LOC124905344,-2.99670294055394,8.4830947285386e-10,9.54414087748638e-08,Downregulated
CALR,1.88610142862796,8.86707183039277e-10,9.92472153222416e-08,Upregulated
PRKXP1,-3.47583865624324,9.12498668483489e-10,1.016102363459e-07,Downregulated
LOC124900718,1.35094940323897,9.41298635033866e-10,1.04282441638395e-07,Upregulated
H1-4,1.3092691222609,1.0297161635860202e-09,1.13498765360948e-07,Upregulated
LOC100313942,-3.29979140923413,1.32106279666495e-09,1.44876553367589e-07,Downregulated
LRIG2,-2.82673519035238,1.35728558239637e-09,1.48101000684195e-07,Downregulated
BBS5,-4.03513499750411,1.6121603728670102e-09,1.75032251682171e-07,Downregulated
INTS4P1,-2.12500572074774,1.7624382462494601e-09,1.90395940691845e-07,Downregulated
DNM1P43,-3.61482705004843,1.8035754153751502e-09,1.93875428561663e-07,Downregulated
MGC4859,1.82579848074559,2.01180696625747e-09,2.1519397273554e-07,Upregulated
RNF38,-2.57573857833785,2.24630076316661e-09,2.39098895938234e-07,Downregulated
RNU6-267P,-3.75573217169518,2.7526660982851e-09,2.9156776418616e-07,Downregulated
MKRN4P,-3.38553595532031,2.8230112636050103e-09,2.97567313485045e-07,Downregulated
HNRNPU,1.81708636096466,2.8661029917786e-09,3.00650050065123e-07,Upregulated
MTX1P1,-1.47278820852533,3.0491879353108502e-09,3.18317628977595e-07,Downregulated
LOC107987046,2.37583280678745,3.15586792473445e-09,3.27878067548727e-07,Upregulated
VAPA,-1.3931768806637,3.2960376107527e-09,3.40664353821128e-07,Downregulated
